Port Name,Date,Value
Alcan,1/1/1996 00:00,3416
Alcan,1/1/1997 00:00,2696
Alcan,1/1/1998 00:00,3252
Alcan,1/1/1999 00:00,3947
Alcan,1/1/2000 00:00,3726
Alcan,1/1/2001 00:00,4453
Alcan,1/1/2002 00:00,4332
Alcan,1/1/2003 00:00,4680
Alcan,1/1/2004 00:00,4198
Alcan,1/1/2005 00:00,3627
Alcan,1/1/2006 00:00,3253
Alcan,1/1/2007 00:00,4101
Alcan,1/1/2008 00:00,3240
Alcan,1/1/2009 00:00,3262
Alcan,1/1/2010 00:00,2943
Alcan,1/1/2011 00:00,2997
Alcan,1/1/2012 00:00,2517
Alcan,1/1/2013 00:00,2611
Alcan,1/1/2014 00:00,2901
Alcan,1/1/2015 00:00,3338
Alcan,1/1/2016 00:00,3971
Alcan,1/1/2017 00:00,3549
Alcan,1/1/2018 00:00,3809
Alcan,1/1/2019 00:00,3548
Alcan,1/1/2020 00:00,3183
Alcan,10/1/1996 00:00,4764
Alcan,10/1/1997 00:00,7094
Alcan,10/1/1998 00:00,6673
Alcan,10/1/1999 00:00,7789
Alcan,10/1/2000 00:00,6232
Alcan,10/1/2001 00:00,7253
Alcan,10/1/2002 00:00,7643
Alcan,10/1/2003 00:00,7702
Alcan,10/1/2004 00:00,6727
Alcan,10/1/2005 00:00,6157
Alcan,10/1/2006 00:00,6309
Alcan,10/1/2007 00:00,5472
Alcan,10/1/2008 00:00,5833
Alcan,10/1/2009 00:00,5439
Alcan,10/1/2010 00:00,5362
Alcan,10/1/2011 00:00,4960
Alcan,10/1/2012 00:00,4966
Alcan,10/1/2013 00:00,4721
Alcan,10/1/2014 00:00,5357
Alcan,10/1/2015 00:00,6330
Alcan,10/1/2016 00:00,6657
Alcan,10/1/2017 00:00,6617
Alcan,10/1/2018 00:00,6376
Alcan,10/1/2019 00:00,6681
Alcan,11/1/1996 00:00,3349
Alcan,11/1/1997 00:00,4587
Alcan,11/1/1998 00:00,5072
Alcan,11/1/1999 00:00,5025
Alcan,11/1/2000 00:00,5100
Alcan,11/1/2001 00:00,5033
Alcan,11/1/2002 00:00,4926
Alcan,11/1/2003 00:00,6856
Alcan,11/1/2004 00:00,5205
Alcan,11/1/2005 00:00,4456
Alcan,11/1/2006 00:00,4672
Alcan,11/1/2007 00:00,6192
Alcan,11/1/2008 00:00,3908
Alcan,11/1/2009 00:00,3874
Alcan,11/1/2010 00:00,3566
Alcan,11/1/2011 00:00,3392
Alcan,11/1/2012 00:00,3444
Alcan,11/1/2013 00:00,1628
Alcan,11/1/2014 00:00,3929
Alcan,11/1/2015 00:00,4745
Alcan,11/1/2016 00:00,4678
Alcan,11/1/2017 00:00,3898
Alcan,11/1/2018 00:00,4555
Alcan,11/1/2019 00:00,4447
Alcan,12/1/1996 00:00,2628
Alcan,12/1/1997 00:00,3771
Alcan,12/1/1998 00:00,3994
Alcan,12/1/1999 00:00,4113
Alcan,12/1/2000 00:00,4020
Alcan,12/1/2001 00:00,3987
Alcan,12/1/2002 00:00,4249
Alcan,12/1/2003 00:00,4045
Alcan,12/1/2004 00:00,3695
Alcan,12/1/2005 00:00,3411
Alcan,12/1/2006 00:00,3728
Alcan,12/1/2007 00:00,4663
Alcan,12/1/2008 00:00,3317
Alcan,12/1/2009 00:00,3042
Alcan,12/1/2010 00:00,3179
Alcan,12/1/2011 00:00,2722
Alcan,12/1/2012 00:00,2467
Alcan,12/1/2013 00:00,2823
Alcan,12/1/2014 00:00,3484
Alcan,12/1/2015 00:00,4017
Alcan,12/1/2016 00:00,3525
Alcan,12/1/2017 00:00,3841
Alcan,12/1/2018 00:00,3935
Alcan,12/1/2019 00:00,4043
Alcan,2/1/1996 00:00,3161
Alcan,2/1/1997 00:00,3126
Alcan,2/1/1998 00:00,4202
Alcan,2/1/1999 00:00,3594
Alcan,2/1/2000 00:00,495
Alcan,2/1/2001 00:00,4370
Alcan,2/1/2002 00:00,4969
Alcan,2/1/2003 00:00,5724
Alcan,2/1/2004 00:00,5107
Alcan,2/1/2005 00:00,3912
Alcan,2/1/2006 00:00,3416
Alcan,2/1/2007 00:00,3697
Alcan,2/1/2008 00:00,3812
Alcan,2/1/2009 00:00,3737
Alcan,2/1/2010 00:00,2891
Alcan,2/1/2011 00:00,3365
Alcan,2/1/2012 00:00,2726
Alcan,2/1/2013 00:00,2766
Alcan,2/1/2014 00:00,2857
Alcan,2/1/2015 00:00,3989
Alcan,2/1/2016 00:00,4147
Alcan,2/1/2017 00:00,3505
Alcan,2/1/2018 00:00,3759
Alcan,2/1/2019 00:00,3631
