A,State,Date,Value
0,AK,1/1/1996 0:00,7705
1,AK,1/1/1997 0:00,6936
2,AK,1/1/1998 0:00,9039
3,AK,1/1/1999 0:00,7720
4,AK,1/1/2000 0:00,7735
5,AK,1/1/2001 0:00,8993
6,AK,1/1/2002 0:00,9527
7,AK,1/1/2003 0:00,8766
8,AK,1/1/2004 0:00,8519
9,AK,1/1/2005 0:00,7932
10,AK,1/1/2006 0:00,7631
11,AK,1/1/2007 0:00,6363
12,AK,1/1/2008 0:00,6299
13,AK,1/1/2009 0:00,5555
14,AK,1/1/2010 0:00,7045
15,AK,1/1/2011 0:00,7454
16,AK,1/1/2012 0:00,5435
17,AK,1/1/2013 0:00,6058
18,AK,1/1/2014 0:00,6382
19,AK,1/1/2015 0:00,6844
20,AK,1/1/2016 0:00,8000
21,AK,1/1/2017 0:00,7497
22,AK,1/1/2018 0:00,7343
23,AK,1/1/2019 0:00,7061
24,AK,1/1/2020 0:00,5689
25,AK,10/1/1996 0:00,12322
26,AK,10/1/1997 0:00,14052
27,AK,10/1/1998 0:00,14481
28,AK,10/1/1999 0:00,16558
29,AK,10/1/2000 0:00,14391
30,AK,10/1/2001 0:00,14890
31,AK,10/1/2002 0:00,16729
32,AK,10/1/2003 0:00,16627
33,AK,10/1/2004 0:00,22525
34,AK,10/1/2005 0:00,14974
35,AK,10/1/2006 0:00,14425
36,AK,10/1/2007 0:00,12516
37,AK,10/1/2008 0:00,12643
38,AK,10/1/2009 0:00,12550
39,AK,10/1/2010 0:00,13340
40,AK,10/1/2011 0:00,12813
41,AK,10/1/2012 0:00,12826
42,AK,10/1/2013 0:00,13217
43,AK,10/1/2014 0:00,12780
44,AK,10/1/2015 0:00,14102
45,AK,10/1/2016 0:00,15197
46,AK,10/1/2017 0:00,15322
47,AK,10/1/2018 0:00,15313
48,AK,10/1/2019 0:00,17579
49,AK,11/1/1996 0:00,8754
50,AK,11/1/1997 0:00,9644
51,AK,11/1/1998 0:00,9290
52,AK,11/1/1999 0:00,9790
53,AK,11/1/2000 0:00,9571
54,AK,11/1/2001 0:00,10134
55,AK,11/1/2002 0:00,10056
56,AK,11/1/2003 0:00,11381
57,AK,11/1/2004 0:00,9899
58,AK,11/1/2005 0:00,7290
59,AK,11/1/2006 0:00,7868
60,AK,11/1/2007 0:00,9993
61,AK,11/1/2008 0:00,7477
62,AK,11/1/2009 0:00,7278
63,AK,11/1/2010 0:00,7637
64,AK,11/1/2011 0:00,6643
65,AK,11/1/2012 0:00,6807
66,AK,11/1/2013 0:00,5390
67,AK,11/1/2014 0:00,8226
68,AK,11/1/2015 0:00,8441
69,AK,11/1/2016 0:00,9018
70,AK,11/1/2017 0:00,7455
71,AK,11/1/2018 0:00,8220
72,AK,11/1/2019 0:00,8197
73,AK,12/1/1996 0:00,6712
74,AK,12/1/1997 0:00,8535
75,AK,12/1/1998 0:00,7787
76,AK,12/1/1999 0:00,7955
77,AK,12/1/2000 0:00,7722
78,AK,12/1/2001 0:00,8155
79,AK,12/1/2002 0:00,8570
80,AK,12/1/2003 0:00,7949
81,AK,12/1/2004 0:00,7991
82,AK,12/1/2005 0:00,7371
83,AK,12/1/2006 0:00,6675
84,AK,12/1/2007 0:00,6415
85,AK,12/1/2008 0:00,6072
86,AK,12/1/2009 0:00,6357
87,AK,12/1/2010 0:00,6780
