Port Name,Date,Value
Andrade,1/1/1996 00:00,428954
Andrade,1/1/1997 00:00,423489
Andrade,1/1/1998 00:00,440280
Andrade,1/1/1999 00:00,462043
Andrade,1/1/2000 00:00,490485
Andrade,1/1/2001 00:00,482704
Andrade,1/1/2002 00:00,432423
Andrade,1/1/2003 00:00,493117
Andrade,1/1/2004 00:00,502070
Andrade,1/1/2005 00:00,472345
Andrade,1/1/2006 00:00,453757
Andrade,1/1/2007 00:00,353483
Andrade,1/1/2008 00:00,338223
Andrade,1/1/2009 00:00,316005
Andrade,1/1/2010 00:00,228884
Andrade,1/1/2011 00:00,226085
Andrade,1/1/2012 00:00,224468
Andrade,1/1/2013 00:00,224098
Andrade,1/1/2014 00:00,230914
Andrade,1/1/2015 00:00,246831
Andrade,1/1/2016 00:00,250633
Andrade,1/1/2017 00:00,261006
Andrade,1/1/2018 00:00,267401
Andrade,1/1/2019 00:00,251884
Andrade,1/1/2020 00:00,246864
Andrade,10/1/1996 00:00,238935
Andrade,10/1/1997 00:00,244902
Andrade,10/1/1998 00:00,263607
Andrade,10/1/1999 00:00,286086
Andrade,10/1/2000 00:00,281671
Andrade,10/1/2001 00:00,237473
Andrade,10/1/2002 00:00,295784
Andrade,10/1/2003 00:00,304756
Andrade,10/1/2004 00:00,321385
Andrade,10/1/2005 00:00,294697
Andrade,10/1/2006 00:00,268278
Andrade,10/1/2007 00:00,244901
Andrade,10/1/2008 00:00,158868
Andrade,10/1/2009 00:00,239866
Andrade,10/1/2010 00:00,157315
Andrade,10/1/2011 00:00,148712
Andrade,10/1/2012 00:00,159639
Andrade,10/1/2013 00:00,150508
Andrade,10/1/2014 00:00,165665
Andrade,10/1/2015 00:00,183817
Andrade,10/1/2016 00:00,196648
Andrade,10/1/2017 00:00,206617
Andrade,10/1/2018 00:00,204743
Andrade,10/1/2019 00:00,211502
Andrade,11/1/1996 00:00,318792
Andrade,11/1/1997 00:00,314377
Andrade,11/1/1998 00:00,339338
Andrade,11/1/1999 00:00,374868
Andrade,11/1/2000 00:00,361230
Andrade,11/1/2001 00:00,307406
Andrade,11/1/2002 00:00,368124
Andrade,11/1/2003 00:00,398688
Andrade,11/1/2004 00:00,375858
Andrade,11/1/2005 00:00,323815
Andrade,11/1/2006 00:00,310800
Andrade,11/1/2007 00:00,286488
Andrade,11/1/2008 00:00,174930
Andrade,11/1/2009 00:00,251193
Andrade,11/1/2010 00:00,182662
Andrade,11/1/2011 00:00,184063
Andrade,11/1/2012 00:00,193954
Andrade,11/1/2013 00:00,176690
Andrade,11/1/2014 00:00,195872
Andrade,11/1/2015 00:00,212279
Andrade,11/1/2016 00:00,205040
Andrade,11/1/2017 00:00,231035
Andrade,11/1/2018 00:00,229514
Andrade,11/1/2019 00:00,224923
Andrade,12/1/1996 00:00,364437
Andrade,12/1/1997 00:00,373943
Andrade,12/1/1998 00:00,391240
Andrade,12/1/1999 00:00,410757
Andrade,12/1/2000 00:00,414471
Andrade,12/1/2001 00:00,353487
Andrade,12/1/2002 00:00,393467
Andrade,12/1/2003 00:00,418827
Andrade,12/1/2004 00:00,395135
Andrade,12/1/2005 00:00,336164
Andrade,12/1/2006 00:00,323370
Andrade,12/1/2007 00:00,309517
Andrade,12/1/2008 00:00,195030
Andrade,12/1/2009 00:00,214236
Andrade,12/1/2010 00:00,194945
Andrade,12/1/2011 00:00,198584
Andrade,12/1/2012 00:00,196298
Andrade,12/1/2013 00:00,195488
Andrade,12/1/2014 00:00,206975
Andrade,12/1/2015 00:00,221902
Andrade,12/1/2016 00:00,224492
Andrade,12/1/2017 00:00,234940
Andrade,12/1/2018 00:00,226510
Andrade,12/1/2019 00:00,223338
Andrade,2/1/1996 00:00,467792
Andrade,2/1/1997 00:00,466252
Andrade,2/1/1998 00:00,456527
Andrade,2/1/1999 00:00,499295
Andrade,2/1/2000 00:00,550359
Andrade,2/1/2001 00:00,513309
Andrade,2/1/2002 00:00,450586
Andrade,2/1/2003 00:00,463769
Andrade,2/1/2004 00:00,537199
Andrade,2/1/2005 00:00,468909
Andrade,2/1/2006 00:00,447561
Andrade,2/1/2007 00:00,350479
Andrade,2/1/2008 00:00,311216
Andrade,2/1/2009 00:00,270772
Andrade,2/1/2010 00:00,233872
Andrade,2/1/2011 00:00,216745
Andrade,2/1/2012 00:00,230219
Andrade,2/1/2013 00:00,223970
Andrade,2/1/2014 00:00,230755
Andrade,2/1/2015 00:00,251154
Andrade,2/1/2016 00:00,234172
Andrade,2/1/2017 00:00,252885
Andrade,2/1/2018 00:00,259135
Andrade,2/1/2019 00:00,237130
Andrade,2/1/2020 00:00,242904
Andrade,3/1/1996 00:00,433114
Andrade,3/1/1997 00:00,430630
Andrade,3/1/1998 00:00,466040
Andrade,3/1/1999 00:00,512138
Andrade,3/1/2000 00:00,524246
Andrade,3/1/2001 00:00,521892
Andrade,3/1/2002 00:00,483889
Andrade,3/1/2003 00:00,480493
Andrade,3/1/2004 00:00,522300
Andrade,3/1/2005 00:00,506857
Andrade,3/1/2006 00:00,443992
Andrade,3/1/2007 00:00,382286
Andrade,3/1/2008 00:00,343056
