State,Date,Value
AZ,1/1/1996 00:00,3377293
AZ,1/1/1997 00:00,3382307
AZ,1/1/1998 00:00,3546291
AZ,1/1/1999 00:00,3673516
AZ,1/1/2000 00:00,3849848
AZ,1/1/2001 00:00,3849476
AZ,1/1/2002 00:00,3974617
AZ,1/1/2003 00:00,3717158
AZ,1/1/2004 00:00,3723689
AZ,1/1/2005 00:00,3824999
AZ,1/1/2006 00:00,3556212
AZ,1/1/2007 00:00,3332658
AZ,1/1/2008 00:00,3183289
AZ,1/1/2009 00:00,3043285
AZ,1/1/2010 00:00,2645657
AZ,1/1/2011 00:00,2325514
AZ,1/1/2012 00:00,2425886
AZ,1/1/2013 00:00,2576063
AZ,1/1/2014 00:00,2743226
AZ,1/1/2015 00:00,2808680
AZ,1/1/2016 00:00,2794560
AZ,1/1/2017 00:00,2924447
AZ,1/1/2018 00:00,3112393
AZ,1/1/2019 00:00,2840342
AZ,1/1/2020 00:00,2818785
AZ,10/1/1996 00:00,3397851
AZ,10/1/1997 00:00,3493917
AZ,10/1/1998 00:00,3695571
AZ,10/1/1999 00:00,3831565
AZ,10/1/2000 00:00,3692613
AZ,10/1/2001 00:00,2991355
AZ,10/1/2002 00:00,3839814
AZ,10/1/2003 00:00,3653291
AZ,10/1/2004 00:00,3552829
AZ,10/1/2005 00:00,3457906
AZ,10/1/2006 00:00,3091844
AZ,10/1/2007 00:00,3404241
AZ,10/1/2008 00:00,2922319
AZ,10/1/2009 00:00,2531082
AZ,10/1/2010 00:00,2434578
AZ,10/1/2011 00:00,2325525
AZ,10/1/2012 00:00,2520682
AZ,10/1/2013 00:00,2701785
AZ,10/1/2014 00:00,2719565
AZ,10/1/2015 00:00,2802743
AZ,10/1/2016 00:00,2818185
AZ,10/1/2017 00:00,3070782
AZ,10/1/2018 00:00,2880772
AZ,10/1/2019 00:00,2757199
AZ,11/1/1996 00:00,2588331
AZ,11/1/1997 00:00,3409541
AZ,11/1/1998 00:00,3591083
AZ,11/1/1999 00:00,3441603
AZ,11/1/2000 00:00,3840860
AZ,11/1/2001 00:00,3567590
AZ,11/1/2002 00:00,3903812
AZ,11/1/2003 00:00,3752759
AZ,11/1/2004 00:00,3822922
AZ,11/1/2005 00:00,3398699
AZ,11/1/2006 00:00,3562775
AZ,11/1/2007 00:00,3405799
AZ,11/1/2008 00:00,2859178
AZ,11/1/2009 00:00,2629141
AZ,11/1/2010 00:00,2335198
AZ,11/1/2011 00:00,2397043
AZ,11/1/2012 00:00,2577975
AZ,11/1/2013 00:00,2787866
AZ,11/1/2014 00:00,2761381
AZ,11/1/2015 00:00,2899537
AZ,11/1/2016 00:00,2885093
AZ,11/1/2017 00:00,3124839
AZ,11/1/2018 00:00,2773872
AZ,11/1/2019 00:00,2764365
AZ,12/1/1996 00:00,3032243
AZ,12/1/1997 00:00,3618161
AZ,12/1/1998 00:00,3869860
AZ,12/1/1999 00:00,3945983
AZ,12/1/2000 00:00,4201091
AZ,12/1/2001 00:00,4283104
AZ,12/1/2002 00:00,3953671
AZ,12/1/2003 00:00,3697812
AZ,12/1/2004 00:00,3971006
AZ,12/1/2005 00:00,3748651
AZ,12/1/2006 00:00,3766163
AZ,12/1/2007 00:00,3675124
AZ,12/1/2008 00:00,2735870
AZ,12/1/2009 00:00,3028318
AZ,12/1/2010 00:00,2590100
AZ,12/1/2011 00:00,2608043
AZ,12/1/2012 00:00,2897299
AZ,12/1/2013 00:00,3025794
AZ,12/1/2014 00:00,2968540
AZ,12/1/2015 00:00,2999737
AZ,12/1/2016 00:00,3035983
AZ,12/1/2017 00:00,3250115
AZ,12/1/2018 00:00,2979561
AZ,12/1/2019 00:00,2885028
AZ,2/1/1996 00:00,3107925
AZ,2/1/1997 00:00,3157522
AZ,2/1/1998 00:00,3190805
AZ,2/1/1999 00:00,3358412
AZ,2/1/2000 00:00,3740102
